[Wed Oct 12 08:55:11.886699 2016] [:error] [pid 18743] [client 127.0.0.1:52763] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:55:13.796473 2016] [:error] [pid 18929] [client 127.0.0.1:52767] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php
[Wed Oct 12 08:55:13.796513 2016] [:error] [pid 18929] [client 127.0.0.1:52767] PHP Stack trace:, referer: http://test.local/edit.php
[Wed Oct 12 08:55:13.796523 2016] [:error] [pid 18929] [client 127.0.0.1:52767] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php
[Wed Oct 12 08:55:21.329476 2016] [:error] [pid 18774] [client 127.0.0.1:52766] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 12 08:55:21.329512 2016] [:error] [pid 18774] [client 127.0.0.1:52766] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 12 08:55:21.329523 2016] [:error] [pid 18774] [client 127.0.0.1:52766] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:55:24.291293 2016] [:error] [pid 18656] [client 127.0.0.1:52764] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php
[Wed Oct 12 08:55:24.291329 2016] [:error] [pid 18656] [client 127.0.0.1:52764] PHP Stack trace:, referer: http://test.local/edit.php
[Wed Oct 12 08:55:24.291338 2016] [:error] [pid 18656] [client 127.0.0.1:52764] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php
[Wed Oct 12 08:55:25.787798 2016] [:error] [pid 1914] [client 127.0.0.1:52769] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php?more_langs=yes
[Wed Oct 12 08:55:25.787856 2016] [:error] [pid 1914] [client 127.0.0.1:52769] PHP Stack trace:, referer: http://test.local/edit.php?more_langs=yes
[Wed Oct 12 08:55:25.787875 2016] [:error] [pid 1914] [client 127.0.0.1:52769] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php?more_langs=yes
